PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Zalakeviciute, R; Rybarczyk, Y; Alexandrino, K; Bonilla-Bedoya, S; Mejia, D; Bastidas, M; Diaz, V				Zalakeviciute, Rasa; Rybarczyk, Yves; Alexandrino, Katiuska; Bonilla-Bedoya, Santiago; Mejia, Danilo; Bastidas, Marco; Diaz, Valeria			Gradient Boosting Machine to Assess the Public Protest Impact on Urban Air Quality	APPLIED SCIENCES-BASEL			English	Article						protests; urban pollution; machine learning	POLLUTION	Political and economic protests build-up due to the financial uncertainty and inequality spreading throughout the world. In 2019, Latin America took the main stage in a wave of protests. While the social side of protests is widely explored, the focus of this study is the evolution of gaseous urban air pollutants during and after one of these events. Changes in concentrations of NO2, CO, O-3 and SO2 during and after the strike, were studied in Quito, Ecuador using two approaches: (i) inter-period observational analysis; and (ii) machine learning (ML) gradient boosting machine (GBM) developed business-as-usual (BAU) comparison to the observations. During the strike, both methods showed a large reduction in the concentrations of NO2 (31.5-32.36%) and CO (15.55-19.85%) and a slight reduction for O-3 and SO2. The GBM approach showed an exclusive potential, especially for a lengthier period of predictions, to estimate strike impact on air quality even after the strike was over. This advocates for the use of machine learning techniques to estimate an extended effect of changes in human activities on urban gaseous pollution.	[Zalakeviciute, Rasa; Alexandrino, Katiuska; Bastidas, Marco] Univ Las Amer UDLA, Grp Biodivers Medio Ambiente & Salud BIOMAS, Quito 170124, Ecuador; [Rybarczyk, Yves] Dalarna Univ, Sch Informat & Engn, S-79188 Falun, Sweden; [Bonilla-Bedoya, Santiago] Univ Tecnol Indoamer, Res Ctr Terr & Sustainable Habitat, Quito 170301, Ecuador; [Mejia, Danilo] Univ Cuenca, Fac Ciencias Quim, Carrera Ingn Ambiental, Cuenca 010203, Ecuador; [Diaz, Valeria] Secretariat Environm, Quito 170501, Ecuador		Zalakeviciute, R (corresponding author), Univ Las Amer UDLA, Grp Biodivers Medio Ambiente & Salud BIOMAS, Quito 170124, Ecuador.	rasa.zalake@gmail.com; yry@du.se; katiuska.alexandrino@udla.edu.ec; santiagobonillab@hotmail.es; danilo.mejia@ucuenca.edu.ec; marco.bastidas@udla.edu.ec; maria.diaz@quito.gob.ec	Bonilla-Bedoya, Santiago/J-8851-2017; Rybarczyk, Yves/A-7045-2012	Mejia, Danilo/0000-0002-2668-2789; Rybarczyk, Yves/0000-0002-3650-9162; Zalakeviciute, Rasa/0000-0001-9641-7318					48	0	0	2	2	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2076-3417		APPL SCI-BASEL	Appl. Sci.-Basel	DEC	2021	11	24							12083	10.3390/app112412083			15	Chemistry, Multidisciplinary; Engineering, Multidisciplinary; Materials Science, Multidisciplinary; Physics, Applied	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry; Engineering; Materials Science; Physics	XW0QD		Green Published, gold			2022-06-04	WOS:000735333900001
J	Santos-Garcia, F; Valdivieso, KD; Rienow, A; Gairin, J				Santos-Garcia, Fabian; Valdivieso, Karina Delgado; Rienow, Andreas; Gairin, Joaquin			Urban-Rural Gradients Predict Educational Gaps: Evidence from a Machine Learning Approach Involving Academic Performance and Impervious Surfaces in Ecuador	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION			English	Article						academic performance; impervious surfaces; urban-rural; Ecuador	LATIN-AMERICA; SCHOOL; REGRESSION; INCOME; GROWTH	Academic performance (AP) is explained by a multitude of factors, principally by those related to socioeconomic, cultural, and educational environments. However, AP is less understood from a spatial perspective. The aim of this study was to investigate a methodology using a machine learning approach to determine which answers from a questionnaire-based survey were relevant for explaining the high AP of secondary school students across urban-rural gradients in Ecuador. We used high school locations to construct individual datasets and stratify them according to the AP scores. Using the Boruta algorithm and backward elimination, we identified the best predictors, classified them using random forest, and mapped the AP classification probabilities. We summarized these results as frequent answers observed for each natural region in Ecuador and used their probability outputs to formulate hypotheses with respect to the urban-rural gradient derived from annual maps of impervious surfaces. Our approach resulted in a cartographic analysis of AP probabilities with overall accuracies around 0.83-0.84% and Kappa values of 0.65-0.67%. High AP was primarily related to answers regarding the academic environment and cognitive skills. These identified answers varied depending on the region, which allowed for different interpretations of the driving factors of AP in Ecuador. A rural-to-urban transition ranging 8-17 years was found to be the timespan correlated with achievement of high AP.	[Santos-Garcia, Fabian] Technol Univ Indoamer Machala & Sabanilla, Res Ctr Terr & Sustainable Habitat CITEHS, Quito 170301, Ecuador; [Valdivieso, Karina Delgado] Technol Univ Indoamer Machala & Sabanilla, Ctr Res Human Sci & Educ CICHE, Quito 170301, Ecuador; [Rienow, Andreas] Ruhr Univ Bochum, Inst Geog, Univ Str 150, D-44780 Bochum, Germany; [Gairin, Joaquin] Univ Autonoma Barcelona, Ctr Res & Studies Org Dev CRiEDO, Bellaterra 08193, Spain		Santos-Garcia, F (corresponding author), Technol Univ Indoamer Machala & Sabanilla, Res Ctr Terr & Sustainable Habitat CITEHS, Quito 170301, Ecuador.	ernestosantos@uti.edu.ec; karinadelgado@uti.edu.ec; andreas.rienow@rub.de; joaquin.gairin@uab.cat	Gairin, Joaquin/L-9327-2014	Gairin, Joaquin/0000-0002-2552-0921; Rienow, Andreas/0000-0003-3893-3298	Indoamerica University Research Program [INV-0010-004]	Indoamerica University Research Program	This research was funded by the Indoamerica University Research Program (grant number: INV-0010-004).		84	0	0	4	4	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2220-9964		ISPRS INT J GEO-INF	ISPRS Int. J. Geo-Inf.	DEC	2021	10	12							830	10.3390/ijgi10120830			27	Computer Science, Information Systems; Geography, Physical; Remote Sensing	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Computer Science; Physical Geography; Remote Sensing	YB1LJ		gold, Green Published			2022-06-04	WOS:000738782400001
J	Fenerich, AT; Steiner, MTA; Nievola, JC; Mendes, KB; Tsutsumi, DP; dos Santos, BS				Fenerich, Amanda; Steiner, Maria Teresinha; Nievola, Julio Cesar; Mendes, Karina; Tsutsumi, Diego Paolo; dos Santos, Bruno			Diagnosis of Headaches Types Using Artificial Neural Networks and Bayesian Networks	IEEE LATIN AMERICA TRANSACTIONS			English	Article						Artificial intelligence; headache diagnosis; machine learning	MEDICAL DATA; CLASSIFICATION; PREDICTION; CANCER	The aim of this paper is to classify several types of headaches from patients, using different data analysis methods, with the application of two classifying algorithms, comparatively: Bayesian Networks (BN) and Artificial Neural Networks (ANN). The data was collected through a data survey process applied to 2,177 patients with headache diagnosis in Neurological Clinic of municipality of Joinville/SC, Brazil, from January 2010 to November 2014. It was constructed eight different Test Models, varying: the attributes codification (codification A and B); the network output (one and five) and the classifier algorithms (BN and ANN). It is presented the accuracy results obtained from the eight Test Models, using the software WEKA (R) (Waikato Environment for Knowledge Analysis). The results presented a good accuracy in all tests realized and they suggest that BNs give better accuracy when comparing to ANNs for this problem.	[Fenerich, Amanda; Steiner, Maria Teresinha; dos Santos, Bruno] Pontificia Univ Catolica Parana PUCPR, PPGEPS, Curitiba, Parana, Brazil; [Nievola, Julio Cesar] Pontificia Univ Catolica Parana PUCPR, Curitiba, Parana, Brazil; [Nievola, Julio Cesar] Pontificia Univ Catolica Parana PUCPR, Grp Pesquisas Descoberta Conhecimento & Aprendiza, Programa Posgrad Informat PPGIA, Curitiba, Parana, Brazil; [Mendes, Karina] Colegio Energia, Balneario, SC, Brazil; [Tsutsumi, Diego Paolo] Univ Tecnol Fed Parana UTFPR, Curso Posgrad Comp Aplicada PPGCA, Curitiba, Parana, Brazil; [dos Santos, Bruno] Univ Tecnol Fed Parana UTFPR, Dept Engn Prod, Londrina, Parana, Brazil		Fenerich, AT (corresponding author), Pontificia Univ Catolica Parana PUCPR, PPGEPS, Curitiba, Parana, Brazil.	amanda.fenerich@gmail.com; maria.steiner@pucpr.br; nievola@ppgia.pucpr.br; kabormen@hotmail.com; diegotsu@gmail.com; bruno.samways@gmail.com		Tsutsumi, Diego/0000-0003-0068-0264; Nievola, Julio Cesar/0000-0002-2212-4499; Trojan, Amanda/0000-0002-5959-9519; Samways dos Santos, Bruno/0000-0001-7919-1724					46	1	1	0	4	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1548-0992			IEEE LAT AM T	IEEE Latin Am. Trans.	JAN	2020	18	1					59	66		10.1109/TLA.2020.9049462			8	Computer Science, Information Systems; Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering	LA9MZ					2022-06-04	WOS:000524265800008
J	Rashid, AR; Chennu, A				Rashid, Ahmad Rafiuddin; Chennu, Arjun			A Trillion Coral Reef Colors: Deeply Annotated Underwater Hyperspectral Images for Automated Classification and Habitat Mapping	DATA			English	Article; Data Paper						hyperspectral imaging; proximal sensing; machine learning; hierarchical learning; coral reef; biodiversity; classification; habitat mapping; image segmentation	RANGE SHIFTS; BIODIVERSITY; COMMUNITY; PROGRAM	This paper describes a large dataset of underwater hyperspectral imagery that can be used by researchers in the domains of computer vision, machine learning, remote sensing, and coral reef ecology. We present the details of underwater data acquisition, processing and curation to create this large dataset of coral reef imagery annotated for habitat mapping. A diver-operated hyperspectral imaging system (HyperDiver) was used to survey 147 transects at 8 coral reef sites around the Caribbean island of Curacao. The underwater proximal sensing approach produced fine-scale images of the seafloor, with more than 2.2 billion points of detailed optical spectra. Of these, more than 10 million data points have been annotated for habitat descriptors or taxonomic identity with a total of 47 class labels up to genus- and species-levels. In addition to HyperDiver survey data, we also include images and annotations from traditional (color photo) quadrat surveys conducted along 23 of the 147 transects, which enables comparative reef description between two types of reef survey methods. This dataset promises benefits for efforts in classification algorithms, hyperspectral image segmentation and automated habitat mapping. Dataset: https://doi.org/10.1594/PANGAEA.911300 Dataset License: CC-BY-NC	[Rashid, Ahmad Rafiuddin; Chennu, Arjun] Max Planck Inst Marine Microbiol, Celsiusstr 1, D-28359 Bremen, Germany		Chennu, A (corresponding author), Max Planck Inst Marine Microbiol, Celsiusstr 1, D-28359 Bremen, Germany.	raf.rashid@outlook.com; achennu@mpi-bremen.de	Chennu, Arjun/AAV-8003-2021	Chennu, Arjun/0000-0002-0389-5589; Rashid, Ahmad Rafiuddin/0000-0003-3085-1079	Max Planck Society	Max Planck Society(Max Planck SocietyFoundation CELLEX)	This research was funded by the Max Planck Society.		24	5	5	1	7	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2306-5729		DATA	Data	MAR	2020	5	1							19	10.3390/data5010019			14	Computer Science, Information Systems; Multidisciplinary Sciences	Emerging Sources Citation Index (ESCI)	Computer Science; Science & Technology - Other Topics	LA1JX		Green Published, gold			2022-06-04	WOS:000523712300007
C	Leite, JB; Mantovani, JRS; Dokic, T; Yan, Q; Chen, PC; Kezunovic, M			IEEE	Leite, Jonatas Boas; Sanches Mantovani, Jose Roberto; Dokic, Tatjana; Yan, Qin; Chen, Po-Chen; Kezunovic, Mladen			Failure Probability Metric by Machine Learning for Online Risk Assessment in Distribution Networks	2017 IEEE PES INNOVATIVE SMART GRID TECHNOLOGIES CONFERENCE - LATIN AMERICA (ISGT LATIN AMERICA)			English	Proceedings Paper	IEEE PES Innovative Smart Grid Technologies Conference - Latin America (ISGT Latin America)	SEP 20-22, 2017	Quito, ECUADOR	IEEE		electricity supply industry; failure probability; geographic information systems; power distribution; risk analysis	GRID SIMULATION ENVIRONMENT; DISTRIBUTION-SYSTEMS	The risk assessment approach is useful for monitoring and supervisory control because it provides distribution operator with the capability to quantify the tradeoff between reliability and economic performance. The risk assessment determines the likelihood of something going wrong in a distribution network through the failure probability metric. To deal with the massive variety of information required in the calculation of failure probability we propose a data mining approach. The proposed approach incorporates weather, asset and outage information for characterizing the risk in a distribution network section via GIS platform.	[Leite, Jonatas Boas; Sanches Mantovani, Jose Roberto] Sao Paulo State Univ UNESP, Dep Elect Engn, Ilha Solteira, Brazil; [Dokic, Tatjana; Yan, Qin; Chen, Po-Chen; Kezunovic, Mladen] Texas A&M Univ, Dep Elect & Comp Engn, College Stn, TX 77843 USA		Leite, JB (corresponding author), Sao Paulo State Univ UNESP, Dep Elect Engn, Ilha Solteira, Brazil.	mant@dee.feis.unesp.br; kezunov@ece.tamu.edu	Leite, Jonatas Boas/AFV-7935-2022; Mantovani, José Roberto Sanches/F-4545-2012	Leite, Jonatas Boas/0000-0002-1204-7178; Mantovani, José Roberto Sanches/0000-0002-7149-6184; Dokic, Tatjana/0000-0003-3836-9949	Sao Paulo Research Foundation FAPESP [2015/17757-2, 2015/21972-6]; CAPES; CNPq [305371/2012-6]	Sao Paulo Research Foundation FAPESP(Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP)); CAPES(Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)); CNPq(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ))	This work was fully supported by the Sao Paulo Research Foundation FAPESP (grant: 2015/17757-2 and 2015/21972-6), CAPES and CNPq (grant: 305371/2012-6) allowing Dr. Boas Leite to spend a year with Dr. Kezunovic's Texas A&M research team.		30	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-3312-0				2017													6	Energy & Fuels; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Energy & Fuels; Engineering	BL5FU					2022-06-04	WOS:000451380200003
J	Terraza, DF; Amaya, M; Piedrahita-Carvajal, A; Rodriguez-Marin, PA; Duque-Munoz, L; Martinez-Vargas, JD				Terraza, Daniel F.; Amaya, Mauricio; Piedrahita-Carvajal, Alejandro; Rodriguez-Marin, Paula A.; Duque-Munoz, Leonardo; Martinez-Vargas, Juan D.			Students' Attention Monitoring System in Learning Environments based on Artificial Intelligence	IEEE LATIN AMERICA TRANSACTIONS			English	Article						Monitoring; Manuals; COVID-19; Multitasking; IEEE transactions; Deep learning; Computational modeling; Early warning system; Learning environment; LSTM; Monitoring; Students' attention	RECOGNITION	The students' attention level to the explanation of a given lecture is a factor that might determine the capability of retention and subsequent application of a learned concept. For this reason, students that pay attention are generally more participatory in the learning/teaching process than those who don't, and consequently, they succeed in reaching the competencies proposed in the courses. Hence, it is important to design strategies and tools that help teachers to monitor in a non-invasive way the attention level of the students, allowing them to take actions to modify the dynamics of the lectures when needed. In this work, we introduce a fully automated system to monitor the students' attention based on computer vision algorithms. To this end, we feed a recurrent neural network with one-second sequences generated by facial landmarks. This spatiotemporal analysis of video recordings allows for identifying when a student is attending a given explanation in online educational environments. The system is tested in a database with more than 3000 sequences of students who pay or no attention to online video lectures. Obtained results show that the proposed system is suitable to monitor the students' attention to a particular explanation.	[Terraza, Daniel F.; Amaya, Mauricio; Piedrahita-Carvajal, Alejandro; Rodriguez-Marin, Paula A.; Duque-Munoz, Leonardo; Martinez-Vargas, Juan D.] Inst Tecnol Metropolitano, Lab Maquinas Inteligentes & Reconocimiento Patron, Medellin, Colombia		Terraza, DF (corresponding author), Inst Tecnol Metropolitano, Lab Maquinas Inteligentes & Reconocimiento Patron, Medellin, Colombia.	danielterraza212285@correo.itm.edu.co; mauricioamaya18986@correo.itm.edu.co; alejandropiedrahita264000@correo.itm.edu.co; paularodriguez@itm.edu.co; leonardoduque@itm.edu.co; juanmartinez@itm.edu.co	; Duque Munoz, Leonardo/P-7539-2018	Terraza Arciniegas, Daniel Fernando/0000-0002-5049-8738; Duque Munoz, Leonardo/0000-0001-7115-3870					26	0	0	4	4	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1548-0992			IEEE LAT AM T	IEEE Latin Am. Trans.	JAN	2022	20	1					126	132		10.1109/TLA.2022.9662181			7	Computer Science, Information Systems; Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering	XU0CK					2022-06-04	WOS:000733944300016
J	Molina-Gomez, NI; Calderon-Rivera, DS; Sierra-Parada, R; Diaz-Arevalo, JL; Lopez-Jimenez, PA				Isabel Molina-Gomez, Nidia; Soret Calderon-Rivera, Dayam; Sierra-Parada, Ronal; Luis Diaz-Arevalo, Jose; Amparo Lopez-Jimenez, P.			Analysis of incidence of air quality on human health: a case study on the relationship between pollutant concentrations and respiratory diseases in Kennedy, Bogota	INTERNATIONAL JOURNAL OF BIOMETEOROLOGY			English	Article						Geostatistics; Machine learning; Sustainable development; Air quality; Hot spots	PM2.5 CONCENTRATIONS; REGRESSION; POPULATION; PROXIMITY; ASTHMA; IMPACT; MODEL; PM10	Thousands of deaths associated with air pollution each year could be prevented by forecasting the behavior of factors that pose risks to people's health and their geographical distribution. Proximity to pollution sources, degree of urbanization, and population density are some of the factors whose spatial distribution enables the identification of possible influence on the presence of respiratory diseases (RD). Currently, Bogota is among the cities with the poorest air quality in Latin America. Specifically, the locality of Kennedy is one of the zones in the city with the highest recorded concentration levels of local pollutants over the last 10 years. From 2009 to 2016, there were 8619 deaths associated with respiratory and cardiovascular diseases in the locality. Given these characteristics, this study set out to identify and analyze the areas in which the primary socioeconomic and environmental conditions contribute to the presence of symptoms associated with RD. To this end, information collected in field by performing georeferenced surveys was analyzed through geostatistical and machine learning tools which carried out cluster and pattern analyses. Random forests and AdaBoost were applied to establish hot spots where RD could occur, given the conjugation of predictor variables in the micro-territory. It was found that random forests outperformed AdaBoost with 0.63 AUC. In particular, this study's approach applies to densely populated municipalities with high levels of air pollution. In using these tools, municipalities can anticipate environmental health situations and reduce the cost of respiratory disease treatments.	[Isabel Molina-Gomez, Nidia; Soret Calderon-Rivera, Dayam; Sierra-Parada, Ronal] Univ Santo Tomas, Dept Environm Engn, Bogota 110231, Colombia; [Isabel Molina-Gomez, Nidia; Amparo Lopez-Jimenez, P.] Univ Politecn Valencia, Hydraul & Environm Engn Dept, Valencia 46022, Spain; [Luis Diaz-Arevalo, Jose] Univ Nacl Colombia, Dept Civil & Agr Engn, Bogota 111321, Colombia		Molina-Gomez, NI (corresponding author), Univ Santo Tomas, Dept Environm Engn, Bogota 110231, Colombia.; Molina-Gomez, NI (corresponding author), Univ Politecn Valencia, Hydraul & Environm Engn Dept, Valencia 46022, Spain.	frauisabel@gmail.com	Gómez, Nidia Isabel Molina/AAG-7671-2021; López-Jiménez, P. Amparo/AAD-9381-2021	Gómez, Nidia Isabel Molina/0000-0003-4485-262X; López-Jiménez, P. Amparo/0000-0002-7043-3683; Calderon Rivera, Dayam Soret/0000-0002-7604-0581; DIAZ-AREVALO, JOSE LUIS/0000-0003-4330-1957; SIERRA, RONAL/0000-0002-9206-5682					46	2	2	3	14	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0020-7128	1432-1254		INT J BIOMETEOROL	Int. J. Biometeorol.	JAN	2021	65	1			SI		119	132		10.1007/s00484-020-01955-4		JUL 2020	14	Biophysics; Environmental Sciences; Meteorology & Atmospheric Sciences; Physiology	Science Citation Index Expanded (SCI-EXPANDED)	Biophysics; Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences; Physiology	PO2CU	32661801	Green Published			2022-06-04	WOS:000548447300001
C	Picasso-Blanquel, C; Ibarguengoytia, PH; Alvarez-Cortes, V			IEEE	Picasso-Blanquel, C.; Ibarguengoytia, P. H.; Alvarez-Cortes, V.			Proposed architecture for substation local master station (LMS) based on intelligent agents: Challenges and benefits	2006 IEEE/PES TRANSMISSION & DISTRIBUTION CONFERENCE & EXPOSITION: LATIN AMERICA, VOLS 1-3	Proceedings of the IEEE-PES Transmission & Distribution Conference and Exposition Latin America		English	Proceedings Paper	IEEE/PES Transmission and Distribution Conference and Exposition Latin America	AUG 15-18, 2006	Caracas, VENEZUELA	IEEE Power Engn Soc		artificial intelligence; cooperative systems; computer architecture; intelligent systems; SCADA systems; substations		Multi-agent systems (MAS) is a novel technology that is being used in several fields of engineering. In environments where several decisions have to be made, the MAS is conformed by agents that utilize artificial intelligence (AI) techniques to support real time autonomous operation. This paper presents a proposed application of MAS in electrical substation automation and in distribution automation systems. These automation systems are formed, among other equipment, by the Local Master Station (LMS): the computational system of the substation. The master station executes the control and central processing of the distribution networks or dispatch regional centers. In this kind of environments, multiple collaborative agents achieve their specific goals and cooperate to achieve the system goal. Specific activities carried out by the agents include the acquisition of information, communication transport information, data management and visualization functions. The acquisition is achieved from the substation equipment like remote terminal units (RTUs), meters, protections and relays (IEDs). This paper presents an overview of the principles underlying the intelligent agents' paradigm and the AI techniques that can be utilized to support collaborative agents in a substation environment. This paper also discusses the potential benefits of this approach over the traditional architectures as well as the foreseen challenges involved.	[Picasso-Blanquel, C.; Ibarguengoytia, P. H.; Alvarez-Cortes, V.] Elect Res Inst, Div Control Syst, Cuernavaca 62490, Morelos, Mexico		Picasso-Blanquel, C (corresponding author), Elect Res Inst, Div Control Syst, Cuernavaca 62490, Morelos, Mexico.	picasso@iie.org.mx; pibar@iie.org.mx; vacortes@iie.org.mx							7	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2381-3571		978-1-4244-0287-8	PROC IEEE-PES			2006							1267	+					2	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BGE06					2022-06-04	WOS:000246244800228
C	Perino, D; Yang, XY; Serra, J; Lutu, A; Leontiadis, I			ASSOC COMP MACHINERY	Perino, Diego; Yang, Xiaoyuan; Serra, Joan; Lutu, Andra; Leontiadis, Ilias			Experience: Advanced Network Operations in (Un)-Connected Remote Communities	MOBICOM '20: PROCEEDINGS OF THE 26TH ANNUAL INTERNATIONAL CONFERENCE ON MOBILE COMPUTING AND NETWORKING (MOBICOM 2020)			English	Proceedings Paper	26th Annual International Conference on Mobile Computing and Networking (MobiCom)	SEP 21-25, 2020	ELECTR NETWORK	Assoc Comp Machinery		Network Operations; Mobile Networks; Remote Communities		The Internet Para Todos program is working to provide sustainable mobile broadband to 100 M unconnected people in Latin America. In this paper we present our commercial deployment in thousands remote small communities and describe the unique experience of maintaining this infrastructure. We describe the challenges related to managing operations containing the cost in these extreme geographical conditions. We also analyze operational data to understand outage patterns and present typical operational issues in this unique remote community environment. Finally, we present an extension of the operations support system (OSS) leveraging advanced analytics and machine learning with the goal of optimizing network maintenance while reducing costs.	[Perino, Diego; Yang, Xiaoyuan; Lutu, Andra] Tel Res, Barcelona, Spain; [Serra, Joan] Dolby Labs, San Francisco, CA USA; [Leontiadis, Ilias] Samsung AI, Suwon, South Korea		Perino, D (corresponding author), Tel Res, Barcelona, Spain.								17	0	0	1	1	ASSOC COMPUTING MACHINERY	NEW YORK	1515 BROADWAY, NEW YORK, NY 10036-9998 USA			978-1-4503-7085-1				2020							204	213		10.1145/3372224.3380893			10	Computer Science, Hardware & Architecture; Computer Science, Information Systems; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Telecommunications	BS0SO					2022-06-04	WOS:000684238100016
J	Reyes, AJO; Garcia, AO; Mue, YL				Reyes, A. J. O.; Garcia, A. O.; Mue, Y. L.			System for Processing and Analysis of Information Using Clustering Technique	IEEE LATIN AMERICA TRANSACTIONS			Spanish	Article						Data warehouse; knowledge extraction; Artificial Intelligence; Data Mining		The digitization of the different processes and automation of services generates large volumes of information. The Data Mining is an artificial intelligence technique that allows finding non trivial information residing in stored data. This research aims to develop a view of analysis for the Integral System for Primary Health Care (SIAPS), employing clustering technique specifically using the partitioned algorithms, with the goal of completing an analysis of the clinical information of the patients, for it raises the extraction of knowledge from a data warehouse powered by the repository of electronic medical records. To develop the solution was used Java 1.6 as programming language, JBoss 4.2 as the application Server and Eclipse 3.4 as Integrated Development Environment. Java Enterprise Edition 5.0 platform was used during the whole process. As result was implemented a system to facilitate the understanding of generated models to support the process of making clinics decisions.				ajochoa@uci.cu; aorellana@uci.cu; ylizama@uci.cu	Lizama-Mué, Yadira/AAB-9251-2020; Orellana, Arturo/AAD-7110-2020	Lizama-Mué, Yadira/0000-0002-0843-8213; Orellana, Arturo/0000-0002-3652-969X					10	5	5	0	11	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1548-0992			IEEE LAT AM T	IEEE Latin Am. Trans.	MAR	2014	12	2					364	371		10.1109/TLA.2014.6749558			8	Computer Science, Information Systems; Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering	AC2OP					2022-06-04	WOS:000332341500039
